chief_complaint,description_fr,description_en
cc16,"Vous venez pour un suivi d'une condition médicale","You are here for a follow-up of a medical condition"
cc18,"Vous venez pour un renouvellement de prescription","You want a prescription renewal"
cc97a,"Vous venez pour un formulaire de la CNESST","You are consulting for a CNESST form"
cc97b,"Vous venez pour un formulaire de la SAAQ","You are consulting for a SAAQ form"
cc97c,"Vous venez pour un billet médical pour absence (travail, école)","You are consulting for a medical note for work or school absence"
cc97d,"Vous venez pour un formulaire d'assurances privées","You are consulting for a private insurance form"
cc1,"Vous avez une douleur à quelque part, avec ou sans blessure.","You have pain in a precise location."
cc7,"Vous faites de la fièvre ou vous avez l’impression de faire de la fièvre|Ex : Température, frissons et sueurs, etc.","You have a fever or feel like you have a fever. |Examples : Documented fever, chills, night sweats."
cc24,"Vous avez un problème avec votre respiration ou vos voies aériennes supérieures|Ex : toux, bruits respiratoires, congestion nasale, mal de gorge, etc.","You have trouble with your breathing or airway(upper respiratory tract)|Examples : cough, nasal congestion, sore throat, wheezing."
cc3,"Vous avez un problème de peau. ( Non relié à une piqure avec une aiguille ou objet contaminé )","You have a skin problem. ( Not related to an accidental sting with a needle or contaminated object )"
cc4,"Vous avez une brûlure, coupure ou engelure. ( Non reliée à une piqure avec une aiguille ou objet contaminé )","You have a burn, laceration or frostbite. ( Not related to an accidental sting with a needle or contaminated object )"
cc33,"Vous avez remarqué de l’enflure à un endroit précis sur votre corps ou de façon plus généralisée.|Ex : Enflure ou œdème de la jambe ou des 2 jambes, du scrotum, etc.","You have generalized or focused swelling.|Examples : Swelling in one leg, swelling in an arm, scrotum swelling."
cc2,"Vous avez un problème avec votre digestion ou vos intestins.|Ex : Nausées, vomissements, diarrhées, constipation, teint jaune, démangeaison anale, etc.","You have gastro-intestinal issues.|Examples : Nausea, vomiting, diarrhea, constipation, jaundice, anal itching etc..."
cc26,"Vous avez un problème avec vos organes génitaux ou vos urines","You have urinary or genital issues."
cc17,"Vous avez un saignement nouveau et spontané sans traumatisme ou des ecchymoses sans vous être cogné ou blessé|Ex : Selles noires, sang dans les selles, vomissement contenant du sang, saignement vaginal, sang dans les urines, crachats de sang, saignement de nez, saignement de gencives, ecchymoses ou bleus spontanés etc.","You have new onset spontaneous bleeding or bruising without prior trauma.|Examples : Multiple bruises, nosebleed, coughing up blood, blood in urine or stool, abnormal vaginal bleeding, dark or black stools, charcoal like vomiting."
cc8,"Vous avez un problème avec un œil ou vos yeux.|Ex : Œil rouge, vision brouillée, etc.","You have a problem with an eye or vision.|Examples : red or pink eye, double vision, blurry vision."
cc14,"Vous avez un problème avec votre bouche, vos dents ou vos oreilles.","You have a problem with your ears, mouth or teeth."
cc27,"Vous avez une faiblesse dans un membre, engourdissement, de la difficulté à parler, une paralysie, vous perdez la vision d'un oeil, difficulté à avaler|Ex : Incapable de sourire, incapable de lever un bras dans les airs","You have weakness, paralysis or numbness in your arms, legs or face. You may also have difficulty speaking or seeing out of one eye.|Ex : Inability to raise one arm, inability to smile."
cc9,"Vous avez un problème avec votre équilibre ou vous avez des étourdissements incommodants.|Ex : Vertige, déséquilibre qui cause un trouble à la marche, etc.","You have trouble with your balance or significant dizziness.|Examples : Vertigo, trouble walking."
cc15,"Vous êtes faible, sans énergie ou vous avez un manque d’appétit et même perdu du poids.|Ex : malaise diffus, fatigue importante, irritabilité ou pleurs chez l’enfant","You feel weak, with a general lack of energy or a loss of appetite or unplanned weight loss.|Examples : general malaise, significant incapacitating fatigue, irritability or uncontrolled crying in children."
cc21,"Vous êtes excité, fébrile, agité et vous pouvez même sentir que votre cœur s’emballe.|Possiblement associé à des palpitations, de légers tremblements, etc.","You feel agitated, restless or have nervous energy.|Examples : Associated with palpitations or tremors."
cc20,"Vous êtes plus endormi, lent ou ralenti qu’habituellement.|Ex : Somnolent, léthargique, etc.","You feel tired, lethargic, slow|Examples : Falling asleep in inappropriate settings"
cc19,"Vous êtes mélangé ou vous avez de la difficulté à vous concentrer ou être attentif.|Ex : Confusion, oublis fréquents, troubles de la mémoire, etc.","You have difficulty concentrating or being attentive or you're confused.|Examples : Forgetfulness, memory loss, confusion."
cc23,"Vous avez une difficulté sociale, psychologique ou mentale qui affecte vos activités de la vie normale.|Ex : Problème social, d’humeur dépressive, d’anxiété, psychiatrique, de sommeil, etc.","You have a social, mental or psychological issue that affects your daily life. |Examples : depressed mood, anxiety, panic attack."
cc11,"Vous avez eu une perte de conscience subite sans mouvements brusques associés ou une quasi perte de conscience.|Ex : Syncope ou perte de connaissance subite ou avortée","You recently lost or almost lost consciousness.|Examples : Fainting, dizzy spells"
cc10,"Vous avez eu une perte de conscience associée à des mouvements brusques ou une perte de contact avec la réalité de façon momentanée.|Ex : Convulsions, absence","You lost consciousness with associated uncoordinated arm or leg movements.|Examples : Epileptic seizures, absence seizures."
cc13,"Vous avez un problème avec votre taux de sucre ou votre glycémie.|Ex : Peut être associé à une soif excessive et ou au besoin d’uriner plus souvent","You have problems with your blood sugar or diabetes.|Examples : Increased thirst or need to urinate, light headed feeling."
cc6,"Vous avez eu une relation sexuelle non-protégée mais vous n’avez aucun symptôme associé à ce jour","You had unprotected sexual intercourse but have not had any symptoms."
cc5,"Vous avez subi une morsure par un humain","You have been bitten by a human"
cc5b,"Vous avez subi une morsure d’un animal","You have been bitten by an animal"
cc25,"Vous avez été exposé à du liquide biologique à risque d’être contaminé|Ex : bave, sang, pus, éclaboussures ou contact, etc.","You were exposed to biological fluids (with risk of contamination)|E.g. saliva, blood, body fluid not from yourself"
cc25b,"Vous avez été piqué par un objet à risque d’être contaminé|Ex : seringue, aiguille, couteau, etc.","You were accidentally stuck by a needle (risk of contamination)"
cc30,"Vous avez accidentellement avalé ou été exposé à une substance ou médicament potentiellement toxique","You ingested or were accidentally exposed to a toxic substance or medication."
