date_jour_arrivee,quart_de_travail_arrivee,nombre_episodes
2019-04-17,N,19
2019-04-17,J,59
2019-04-17,S,37
2019-04-16,N,19
2019-04-16,J,50
2019-04-16,S,35
2019-04-15,N,21
2019-04-15,J,85
2019-04-15,S,46
2019-04-14,N,27
2019-04-14,J,39
2019-04-14,S,28
2019-04-13,N,25
2019-04-13,J,47
2019-04-13,S,29
2019-04-12,N,20
2019-04-12,J,71
2019-04-12,S,23
2019-04-11,N,26
2019-04-11,J,49
2019-04-11,S,33
2019-04-10,N,17
2019-04-10,J,65
2019-04-10,S,47
2019-04-09,N,24
2019-04-09,J,67
2019-04-09,S,28
2019-04-08,N,15
2019-04-08,J,81
2019-04-08,S,33
2019-04-07,N,23
2019-04-07,J,44
2019-04-07,S,22
