cc,label
cc1,You have pain in a precise location.
cc10,"You lost consciousness with associated uncoordinated arm or leg movements.|Examples : Epileptic seizures, absence seizures. cc13 You have problems with your blood sugar or diabetes.|Examples : Increased thirst or need to urinate, light headed feeling."
cc11,"You recently lost or almost lost consciousness.|Examples : Fainting, dizzy spells"
cc14,"You have a problem with your ears, mouth or teeth. Vous avez un problème avec votre bouche, vos dents ou vos oreilles."
cc17,"You have new onset spontaneous bleeding or bruising without prior trauma.|Examples : Multiple bruises, nosebleed, coughing up blood,Vboluosodavinezuurinesaoirgsnteomole,natbnourmvealuvaegtisnpaolnbtlaeneédisnagn,sdatrakuomrabtliascmkesotouodlse,scehcacrchoyamloliskesvsoamnistinvgo.us être cogné ou blessé|Ex : Selles noires, sang dans les selles, vomissement contenant du sang, saignement vaginal, sang dans les urines, crachats de sang, saignement de nez, saignement de gencives, ecchymoses ou bleus spontanés etc."
cc19,"You have difficulty concentrating or being attentive or you're confused.|Examples : Forgetfulness, memory loss, confusion. cc23 You have a social, mental or psychological issue that affects your daily life. |Examples : depressed mood, anxiety, panic attack."
cc2,"You have gastro-intestinal issues.|Examples : Nausea, vomiting, diarrhea, constipation, jaundice, anal itching etc..."
cc20,"You feel tired, lethargic, slow|Examples : Falling asleep in inappropriate settings"
cc21,"You feel agitated, restless or have nervous energy.|Examples : Associated with palpitations or tremors."
cc24,"You have trouble with your breathing or airway(upper respiratory tract)|Examples : cough, nasal congestion, sore throat, wheezing."
cc25,"You were exposed to biological fluids (with risk of contamination)|E.g. saliva, blood, body fluid not from yourself"
cc26,You have urinary or genital issues.
cc27,"Youhaveweakness,paralysisornumbnessinyourarms,legsorface.Youmayalsohavedifficultyspeakingorseeingoutofoneeye.|EVxo:uInsaabvileitzyutonerafaisiebloesnseeadrman,sinuanbimliteymtobrsem,ielen.gourdissement,deladifficultéàparler,uneparalysie,vousperdezlavisiond'unoeil,difficultéàavaler|Ex:Incapabledesourire,incapabledeleverunbrasdanslesairs"
cc3,You have a skin problem. ( Not related to an accidental sting with a needle or contaminated object )
cc33,"You have generalized or focused swelling.|Examples : Swelling in one leg, swelling in an arm, scrotum swelling."
cc4,"You have a burn, laceration or frostbite. ( Not related to an accidental sting with a needle or contaminated object )"
cc5,You have been bitten by a human
cc6,You had unprotected sexual intercourse but have not had any symptoms.
cc7,"You have a fever or feel like you have a fever. |Examples : Documented fever, chills, night sweats."
cc8,"You have a problem with an eye or vision.|Examples : red or pink eye, double vision, blurry vision. Vous avez un problème avec un œil ou vos yeux.|Ex : Œil rouge, vision brouillée, etc."
cc9,"You have trouble with your balance or significant dizziness.|Examples : Vertigo, trouble walking. Vous avez un problème avec votre équilibre ou vous avez des étourdissements incommodants.|Ex : Vertige, déséquilibre qui cause un trouble à la marche, etc. cc15 You feel weak, with a general lack of energy or a loss of appetite or unplanned weight loss.|Examples : general malaise, significant incapVaocuitsatêintegsfafatiigbule,,sirarnitsabéinliteyrgoireuonucovonutrsolalevdezcruyninmgainqcuheildr’eanp.pétit et même perdu du poids.|Ex : malaise diffus, fatigue importante, irritabilité ou pleurs chez l’enfant"
