repo_name,stage,type,whitelist_date
auth0-infra,Production,Code,1970-01-01
patient-webapp,Production,Code,1970-01-01
care-platform,Production,Code,1970-01-01
patient-app,Production,Code,1970-01-01
mattermost-server,Production,Code,1970-01-01
countdown,Production,Code,1970-01-01
maestro,Production,Code,1970-01-01
scribe,Production,Code,1970-01-01
fascia,Production,Code,1970-01-01
hollywood,Production,Code,1970-01-01
usher,Production,Code,1970-01-01
speakeasy,Production,Code,1970-01-01
waldo,Production,Code,1970-01-01
unresponsive,Production,Code,1970-01-01
dialogue.kappa,Production,Code,1970-01-01
lymphocyte,Production,Code,1970-01-01
zorro,Production,Code,1970-01-01
coredata,Production,Code,1970-01-01
scope-of-practice,Production,Code,1970-01-01
toktok,Production,Code,1970-01-01
danvers,Production,Code,1970-01-01
memento,Production,Code,1970-01-01
amylase,Production,Code,1970-01-01
gloss,Production,Code,1970-01-01
pushit-legacy,Production,Code,1970-01-01
mattermost-client,Production,Code,1970-01-01
scores,Production,Code,1970-01-01
services,Production,Code,1970-01-01
mattermost-restart,Production,Code,1970-01-01
usher-client,Production,Code,1970-01-01
cp-patient-profile,Production,Code,1970-01-01
papertrail,Production,Code,1970-01-01
fiber,Production,Code,1970-01-01
Questionnaires,Production,Data,1970-01-01
assets.dialoguecorp.com,Production,Data,1970-01-01
cp-templates,Production,Data,1970-01-01
ios-certificates,Production,Data,1970-01-01
nlu,Development,Code,1970-01-01
silkroad,Development,Code,1970-01-01
bouncer,Production,Code,1970-01-01
patient-android,Development,Code,1970-01-01
guestlist,Development,Code,1970-01-01
pushit,Development,Code,1970-01-01
demo-graphql,Experiment,Code,
Eliza,Experiment,Code,
otis,Experiment,Code,
image-cop,Experiment,Code,
care-platform-releases,Experiment,Code,
appveyor-artifacts,Experiment,Code,
demo-confluent,Experiment,Code,
machine-translator-tool,Experiment,Code,
data-sync,Experiment,Code,
medmento,Experiment,Code,
faceoff,Experiment,Code,
diascrape,Experiment,Code,
hadrien-on-jupyter,Experiment,,
template-python-lib,Tooling,Code,
template-project-base,Tooling,Code,
template-python-pyramid-api,Tooling,Code,
template-python-code-format,Tooling,Code,
orwell,Tooling,Code,
segment2kinesis,Tooling,Code,
tally,Tooling,Code,
uwsgi-pyenv-image,Tooling,Code,
swagger-site,Tooling,Code,
video-session-cli,Tooling,Code,
end-to-end-tests,Tooling,Code,
datadog-logging,Tooling,Code,
architecture,Tooling,Data,
qa,Tooling,Data,
product,Tooling,Data,
catwalk,Data-Infrastructure,Mixed,
bi,Data-Infrastructure,Mixed,
member_api_mock_server,Tooling,Mixed,
diametry,Data-Infrastructure,Mixed,
mattermost-service,Deprecated,Code,
chatter,Deprecated,Code,
Interferon,Archived,Code,
DialogueMD-API,Archived,Code,
DialogueMD-App,Archived,Code,
care-platform-2,Archived,Code,
terragrunt-modules,,,
luxor,,,
infra-code,,,
terraform-modules,,,
scribe-filedrop,,,
auth0-hooks,,,
auth0-client,,,
auth0-rules,,,
serverless-plugin,,,
serverless-template,,,
coredata-client,,,
cobranding,,,
hippocrates,,,
scholia,,,
silhouette,,,
flask_cc_classifier,,,
demo-kinesis-iterator-type-changes,,,
DialogueMD-Landing,,,
podium,,,
wsgi-jwks-rsa,,,
message-retraction,,,
video-session-kit,,,
ci-docker-images,,,
http-security-headers,,,
basics,,,
menhir,,,
nginx-uwsgi-image,,,
data-analysis,Data-Infrastructure,,
dxa_cc_classifier,,,
rubric,,,
metrics2datadog,,,
python-api-client,,,
multi-method,,,
runscope-ci-trigger,,,
feature-switch,,,
aws-lambda-tracing,,,
components,,,
dialogue.tracing,,,
Design,,,
auth1,,,
episode-migration-script,,,
foundation,,,
infra,,,
handoff,,,
dataparser,,,
redux-query,,,
message-auto-reply,,,
dialogue-admin-app,,,
slackcmds,,,
fastlane-test,,,
smooch-mattermost-migration,,,
dialogue-admin-api,,,
sprints,,,
consult-service,,,
profile-ai,,,
gachette,,,
chat-relay,,,
graphene,,,
angular-cli,,,
docker-caffeine-base,,,
swagger-ui,,,
gluten,,,
service-config,,,
somnambulist,,,
cordova-plugin-opentok,,,
ng2-core-data,,,
devbox,,,
diagram-landing,,,
Calcium,,,
template-flask,,,
media-server,,,
ms-authentication,,,
Omnimed-wiki,,,
react-native-send-intent,,,
hellosign,,,
