account_id,account_name,revenue_type,amount,date_month
0016A00000erTb8QAE,2374895 Ontario Inc,TeleHealth,10.65,2018-12-01
0016A00000erTb8QAE,2374895 Ontario Inc,TeleHealth,0.00,2018-12-01
0016A00000erTb8QAE,2374895 Ontario Inc,TeleHealth,30.00,2019-01-01
0016A00000erTb8QAE,2374895 Ontario Inc,TeleHealth,30.00,2019-02-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,199.54,2018-05-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,206.19,2018-06-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,6.65,2018-06-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,206.19,2018-07-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,0.00,2018-07-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,206.19,2018-08-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,0.00,2018-08-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,206.19,2018-09-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,0.00,2018-09-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,206.19,2018-10-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,206.19,2018-11-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,0.00,2018-11-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,206.19,2018-12-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,0.00,2018-12-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,0.00,2019-01-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,206.19,2019-01-01
0016A00000QW85SQAT,9149-8865 Quebec Inc. (Centre Bureautique),TeleHealth,206.19,2019-02-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,230.40,2018-04-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,-7.05,2018-04-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,-7.05,2018-04-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,232.26,2018-05-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,14.21,2018-05-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,57.60,2018-05-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,-1.76,2018-05-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,-1.76,2018-05-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,254.97,2018-06-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,16.00,2018-06-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,-16.00,2018-06-01
0016A00000KXcYjQAL,A. Bisson Ltée,TeleHealth,16.00,2018-06-01
