date_month,gm_source,value
2018-01-01,Related to Sales,131
2018-01-01,Related to GM1,-31483
2018-02-01,Related to Sales,1634
2018-02-01,Related to GM1,-23583
2018-03-01,Related to Sales,4197
2018-03-01,Related to GM1,-55542
2018-04-01,Related to Sales,-41
2018-04-01,Related to GM1,-61903
2018-05-01,Related to Sales,-2802
2018-05-01,Related to GM1,-24283
2018-06-01,Related to Sales,-11510
2018-06-01,Related to GM1,-25214
2018-07-01,Related to Sales,-20096
2018-07-01,Related to GM1,6438
2018-08-01,Related to Sales,-29985
2018-08-01,Related to GM1,605
2018-09-01,Related to Sales,-48788
2018-09-01,Related to GM1,73077
2018-10-01,Related to Sales,-44922
2018-10-01,Related to GM1,20869
