Account,Month,Recognized,MH,Org_name
008 - Services Immobiliers (IASI) - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 11.00 adhésions à $6.00,8/1/2018 0:00:00,66,0,008 - IA Services Immobiliers
008 - Services Immobiliers (IASI) - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- novembre 2018 ---- 11.00 adhésions à $6.00,11/1/2018 0:00:00,66,0,008 - IA Services Immobiliers
008 - Services Immobiliers (IASI) - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 11.00 adhésions à $6.00,10/1/2018 0:00:00,66,0,008 - IA Services Immobiliers
008 - Services Immobiliers (IASI) - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 11.00 adhésions à $6.00,9/1/2018 0:00:00,66,0,008 - IA Services Immobiliers
011 - Gestion Immobilière Ind.-All. Inc. - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 18.00 adhésions à $6.00,8/1/2018 0:00:00,108,0,011 - Gestion Immobilière IA Inc.
011 - Gestion Immobilière Ind.-All. Inc. - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- novembre 2018 ---- 18.00 adhésions à $6.00,11/1/2018 0:00:00,108,0,011 - Gestion Immobilière IA Inc.
011 - Gestion Immobilière Ind.-All. Inc. - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 18.00 adhésions à $6.00,10/1/2018 0:00:00,108,0,011 - Gestion Immobilière IA Inc.
011 - Gestion Immobilière Ind.-All. Inc. - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 18.00 adhésions à $6.00,9/1/2018 0:00:00,108,0,011 - Gestion Immobilière IA Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 4.00 adhésions à $6.00,8/1/2018 0:00:00,24,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- novembre 2018 ---- 248.80 adhésions à $6.00,11/1/2018 0:00:00,1492.8,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 3.00 adhésions à $6.00,10/1/2018 0:00:00,18,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 3.17 adhésions à $6.00,9/1/2018 0:00:00,19.02,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - BC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 6.00 adhésions à $6.00,8/1/2018 0:00:00,36,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - BC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 5.03 adhésions à $6.00,10/1/2018 0:00:00,30.18,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - BC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 5.17 adhésions à $6.00,9/1/2018 0:00:00,31.02,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - BC - Round off difference,9/1/2018 0:00:00,-0.01,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - NS - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 2.00 adhésions à $6.00,8/1/2018 0:00:00,12,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - NS - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 2.00 adhésions à $6.00,10/1/2018 0:00:00,12,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - NS - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 2.00 adhésions à $6.00,9/1/2018 0:00:00,12,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - ON - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 69.03 adhésions à $6.00,8/1/2018 0:00:00,414.18,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - ON - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 67.06 adhésions à $6.00,10/1/2018 0:00:00,402.36,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - ON - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 68.27 adhésions à $6.00,9/1/2018 0:00:00,409.62,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - ON - Round off difference,10/1/2018 0:00:00,0.01,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - QC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 186.00 adhésions à $6.00,8/1/2018 0:00:00,1116,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - QC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 186.32 adhésions à $6.00,10/1/2018 0:00:00,1117.92,0,013 - Investia Financial Services Inc.
013 - Investia Financial Serv. Inc. and NFIA (CNCA) - QC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 187.00 adhésions à $6.00,9/1/2018 0:00:00,1122,0,013 - Investia Financial Services Inc.
"017 - L’Excellence, Compagnie d’assurance vie - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 2.00 adhésions à $6.00",8/1/2018 0:00:00,12,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- novembre 2018 ---- 147.53 adhésions à $6.00",11/1/2018 0:00:00,885.18,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 1.00 adhésions à $6.00",10/1/2018 0:00:00,6,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 1.17 adhésions à $6.00",9/1/2018 0:00:00,7.02,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - BC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 3.00 adhésions à $6.00",8/1/2018 0:00:00,18,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - BC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 3.00 adhésions à $6.00",10/1/2018 0:00:00,18,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - BC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 3.00 adhésions à $6.00",9/1/2018 0:00:00,18,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - ON - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 3.00 adhésions à $6.00",8/1/2018 0:00:00,18,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - ON - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 4.00 adhésions à $6.00",10/1/2018 0:00:00,24,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - ON - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 3.87 adhésions à $6.00",9/1/2018 0:00:00,23.22,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - QC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 137.06 adhésions à $6.00",8/1/2018 0:00:00,822.36,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - QC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 139.29 adhésions à $6.00",10/1/2018 0:00:00,835.74,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - QC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 139.77 adhésions à $6.00",9/1/2018 0:00:00,838.62,0,017 - L'Excellence Inc.
"017 - L’Excellence, Compagnie d’assurance vie - QC - Round off difference",10/1/2018 0:00:00,0.01,0,017 - L'Excellence Inc.
018 - Michel Rhéaume et Associés Ltée - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 37.03 adhésions à $6.00,8/1/2018 0:00:00,222.18,0,018 - Michel Rhéaume et Associés Ltée
018 - Michel Rhéaume et Associés Ltée - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- novembre 2018 ---- 36.93 adhésions à $6.00,11/1/2018 0:00:00,221.58,0,018 - Michel Rhéaume et Associés Ltée
018 - Michel Rhéaume et Associés Ltée - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 37.10 adhésions à $6.00,10/1/2018 0:00:00,222.6,0,018 - Michel Rhéaume et Associés Ltée
018 - Michel Rhéaume et Associés Ltée - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 37.07 adhésions à $6.00,9/1/2018 0:00:00,222.42,0,018 - Michel Rhéaume et Associés Ltée
