"administrator_id","organization_id","role_id","created"
198,252,1,"2017-10-12 17:10:38.309171+00"
198,253,1,"2017-10-12 17:20:51.089264+00"
2,12,1,"2017-04-12 19:17:58.983678+00"
283,330,1,"2018-01-15 21:46:44.201014+00"
202,256,1,"2017-10-16 20:04:23.362687+00"
204,252,1,"2017-10-18 15:59:32.856366+00"
723,496,1,"2018-10-05 15:03:07.785563+00"
429,484,1,"2018-03-23 18:08:28.263252+00"
292,371,1,"2018-01-16 21:55:30.455584+00"
210,261,1,"2017-10-24 17:37:18.362711+00"
292,374,1,"2018-01-16 21:55:57.196643+00"
10,27,1,"2017-04-27 19:58:15.994761+00"
418,461,1,"2018-03-26 18:32:36.750347+00"
11,82,1,"2017-05-04 13:17:03.888023+00"
11,72,1,"2017-05-04 13:17:14.428869+00"
12,76,1,"2017-05-04 13:30:49.96154+00"
211,256,1,"2017-10-26 20:55:24.723645+00"
293,370,1,"2018-01-17 21:32:48.970464+00"
296,370,1,"2018-01-17 21:33:45.965895+00"
13,92,1,"2017-05-04 19:02:37.188917+00"
13,91,1,"2017-05-04 19:02:51.62072+00"
14,95,1,"2017-05-04 19:03:23.831355+00"
15,52,1,"2017-05-08 14:45:39.548881+00"
16,52,1,"2017-05-09 15:37:34.605005+00"
215,254,1,"2017-10-27 14:52:14.506412+00"
299,55,1,"2018-01-18 17:53:52.305008+00"
18,39,1,"2017-05-10 12:56:56.705145+00"
190,264,1,"2017-10-30 18:53:11.63903+00"
19,70,1,"2017-05-10 15:48:38.605349+00"
20,97,1,"2017-05-10 17:57:00.662518+00"
723,484,1,"2018-10-05 15:03:07.785563+00"
21,96,1,"2017-05-10 19:23:04.02808+00"
560,586,1,"2018-07-12 15:22:57.262133+00"
723,566,1,"2018-10-05 15:03:07.785563+00"
302,68,1,"2018-01-19 01:15:19.688673+00"
305,375,1,"2018-01-19 17:08:44.71049+00"
723,516,1,"2018-10-05 15:03:07.785563+00"
440,472,1,"2018-03-29 19:04:06.730888+00"
24,58,1,"2017-05-12 20:25:40.547591+00"
313,327,1,"2018-01-25 18:55:31.816775+00"
314,384,1,"2018-01-25 18:55:57.077617+00"
582,328,1,"2018-07-17 21:14:41.931389+00"
444,411,1,"2018-04-05 13:11:35.055106+00"
446,485,1,"2018-04-05 21:21:39.497811+00"
27,136,1,"2017-05-16 15:56:36.365792+00"
28,14,1,"2017-05-17 15:12:28.553648+00"
723,492,1,"2018-10-05 15:03:07.785563+00"
30,137,1,"2017-05-17 18:18:51.691002+00"
723,517,1,"2018-10-05 15:03:07.785563+00"
32,22,1,"2017-05-18 14:34:31.247293+00"
316,388,1,"2018-01-25 19:46:10.198967+00"
316,390,1,"2018-01-25 19:54:19.804794+00"
34,45,1,"2017-05-18 17:10:51.709555+00"
316,393,1,"2018-01-25 19:54:57.960931+00"
35,83,1,"2017-05-19 18:38:23.355358+00"
36,54,1,"2017-05-23 19:57:02.966903+00"
37,54,1,"2017-05-24 14:37:30.650146+00"
315,394,1,"2018-01-25 19:55:21.201507+00"
39,140,1,"2017-05-24 18:57:38.871446+00"
40,45,1,"2017-05-24 20:40:08.622279+00"
41,42,1,"2017-05-26 15:46:27.723854+00"
42,94,1,"2017-05-26 17:26:33.493593+00"
42,40,1,"2017-05-26 17:26:50.542103+00"
43,42,1,"2017-05-26 17:47:35.908255+00"
315,392,1,"2018-01-25 19:55:38.356345+00"
45,144,1,"2017-05-30 14:36:58.454499+00"
42,146,1,"2017-05-30 16:09:15.041495+00"
315,390,1,"2018-01-25 19:55:59.258716+00"
582,724,1,"2018-11-26 19:34:45.496505+00"
47,142,1,"2017-05-30 19:28:28.973496+00"
47,141,1,"2017-05-30 19:28:39.664027+00"
315,389,1,"2018-01-25 19:56:08.272441+00"
49,150,1,"2017-05-31 13:52:39.954961+00"
283,724,1,"2018-11-26 19:35:00.830334+00"
318,80,1,"2018-01-26 14:42:05.901491+00"
52,138,1,"2017-06-02 19:34:44.01722+00"
52,152,1,"2017-06-02 19:40:23.072126+00"
53,35,1,"2017-06-02 19:45:17.323837+00"
87,70,1,"2017-06-12 15:24:11.872616+00"
52,187,1,"2017-06-14 17:37:02.341257+00"
88,188,1,"2017-06-21 20:31:50.706853+00"
423,492,1,"2018-04-16 21:09:07.936273+00"
236,492,1,"2018-04-16 21:10:47.11353+00"
90,71,1,"2017-06-27 21:43:44.357928+00"
91,32,1,"2017-06-28 13:47:55.250458+00"
91,62,1,"2017-06-28 13:48:14.838035+00"
587,563,1,"2018-07-24 20:36:49.597625+00"
93,188,1,"2017-06-28 14:16:39.753222+00"
94,4,1,"2017-06-28 14:45:24.377332+00"
95,48,1,"2017-06-28 14:58:12.874591+00"
588,596,1,"2018-07-26 14:17:53.147763+00"
423,494,1,"2018-04-17 13:16:52.428539+00"
429,494,1,"2018-04-17 13:17:21.016323+00"
98,57,1,"2017-06-28 21:08:21.525174+00"
99,151,1,"2017-06-29 13:48:02.817124+00"
100,151,1,"2017-06-29 13:48:25.407753+00"
101,59,1,"2017-06-29 13:57:50.612212+00"
101,37,1,"2017-06-29 13:58:05.769511+00"
102,59,1,"2017-06-29 14:03:35.438672+00"
102,37,1,"2017-06-29 14:03:53.243478+00"
448,495,1,"2018-04-17 17:14:09.851462+00"
105,69,1,"2017-06-29 17:23:17.24902+00"
106,88,1,"2017-06-29 17:27:47.015749+00"
106,89,1,"2017-06-29 17:28:02.749337+00"
108,93,1,"2017-06-29 17:33:35.054861+00"
109,75,1,"2017-06-29 17:36:54.723039+00"
109,101,1,"2017-06-29 17:37:10.125416+00"
110,153,1,"2017-06-29 18:07:40.016348+00"
597,603,1,"2018-07-30 14:20:48.555808+00"
597,600,1,"2018-07-30 14:20:54.331181+00"
429,496,1,"2018-04-17 18:40:44.927262+00"
453,500,1,"2018-04-24 15:00:34.794129+00"
115,14,1,"2017-07-10 14:26:36.68597+00"
455,457,1,"2018-04-24 18:21:42.054002+00"
117,147,1,"2017-07-10 22:06:57.225324+00"
117,87,1,"2017-07-10 22:07:15.299954+00"
117,86,1,"2017-07-10 22:07:39.095609+00"
117,33,1,"2017-07-10 22:07:56.557501+00"
457,504,1,"2018-04-25 13:55:52.046188+00"
120,150,1,"2017-07-18 15:41:41.359558+00"
458,498,1,"2018-04-25 14:20:52.475666+00"
460,301,1,"2018-04-25 16:05:19.946795+00"
459,303,1,"2018-04-27 12:36:49.683747+00"
459,304,1,"2018-04-27 12:37:32.956624+00"
136,612,1,"2018-07-31 17:19:35.813174+00"
136,210,1,"2018-07-31 17:19:41.945456+00"
158,597,1,"2018-08-01 14:01:22.326516+00"
603,604,1,"2018-08-02 13:18:52.87337+00"
605,97,1,"2018-08-03 19:14:47.137308+00"
602,602,1,"2018-08-09 13:11:38.693869+00"
603,601,1,"2018-08-09 13:13:13.177095+00"
602,605,1,"2018-08-09 13:14:40.026939+00"
134,198,1,"2017-07-27 14:50:45.856034+00"
135,198,1,"2017-07-27 14:50:56.821078+00"
139,86,1,"2017-08-01 16:43:00.580116+00"
139,147,1,"2017-08-01 16:43:36.167865+00"
142,11,1,"2017-08-03 21:27:18.576456+00"
142,212,1,"2017-08-10 16:19:42.626568+00"
142,213,1,"2017-08-10 16:24:41.368476+00"
146,40,1,"2017-08-11 19:11:10.959542+00"
146,94,1,"2017-08-11 19:11:28.125334+00"
146,146,1,"2017-08-11 19:11:49.81645+00"
158,214,1,"2017-08-23 15:16:00.683217+00"
159,214,1,"2017-08-23 15:16:23.35561+00"
161,223,1,"2017-08-24 17:32:29.94329+00"
164,219,1,"2017-08-28 17:48:25.212655+00"
166,227,1,"2017-08-29 19:38:15.995354+00"
