"organization_id","billing_start_date"
1,"2016-09-26"
2,"2016-10-05"
3,"2016-09-24"
5,"2016-09-19"
8,"2017-03-21"
9,"2016-09-20"
10,"2016-09-16"
17,"2016-10-12"
19,"2016-10-02"
26,"2016-09-22"
27,"2016-10-12"
29,"2017-03-21"
30,"2016-10-28"
31,"2016-10-28"
41,"2016-12-09"
43,"2016-11-13"
44,"2017-03-21"
46,"2016-09-07"
49,"2016-12-20"
53,"2017-03-21"
64,"2017-03-21"
65,"2018-02-27"
73,"2017-03-10"
74,"2017-03-21"
77,"2017-03-16"
78,"2017-03-21"
80,"2016-10-01"
85,"2017-04-13"
90,"2017-04-21"
98,"2017-05-02"
102,"2017-05-09"
220,"2017-08-21"
222,"2017-08-21"
225,"2017-08-27"
226,"2017-08-29"
233,"2017-09-08"
