"plan_id","feature_id","created"
609,5,"2018-11-01 23:58:49.028232+00"
610,5,"2018-11-01 23:59:29.486554+00"
722,5,"2018-11-06 15:40:18.33847+00"
80,5,"2018-11-06 15:43:14.582158+00"
63,5,"2018-11-06 15:44:25.425682+00"
301,5,"2018-11-06 15:45:14.281242+00"
503,5,"2018-10-24 19:57:37.354475+00"
736,5,"2018-10-24 20:04:09.523266+00"
607,5,"2018-11-01 23:56:11.22263+00"
608,5,"2018-11-01 23:56:59.532882+00"
611,5,"2018-11-01 23:57:44.947174+00"
80,4,"2018-11-06 15:43:14.582158+00"
607,4,"2018-11-01 23:56:11.22263+00"
63,4,"2018-11-06 15:44:25.425682+00"
611,4,"2018-11-01 23:57:44.947174+00"
301,4,"2018-11-06 15:45:14.281242+00"
608,4,"2018-11-01 23:56:59.532882+00"
736,4,"2018-10-24 20:03:59.505943+00"
609,4,"2018-11-01 23:58:49.028232+00"
610,4,"2018-11-01 23:59:29.486554+00"
722,4,"2018-11-06 15:40:18.33847+00"
738,4,"2018-10-25 13:44:21.3299+00"
287,3,"2018-11-05 18:15:24.48851+00"
735,3,"2018-11-29 16:05:34.398134+00"
279,3,"2018-10-30 14:59:20.265573+00"
333,3,"2018-11-13 18:36:55.353646+00"
722,3,"2018-10-05 14:57:33.776169+00"
63,3,"2018-08-31 18:49:44.711765+00"
80,3,"2018-11-22 15:25:59.84323+00"
614,3,"2018-11-01 03:16:25.664104+00"
127,3,"2018-11-01 03:19:53.004745+00"
136,3,"2018-11-01 03:20:37.354791+00"
635,3,"2018-11-01 03:21:15.606584+00"
637,3,"2018-11-01 03:22:01.87861+00"
105,3,"2018-11-26 15:38:39.526711+00"
291,3,"2018-11-05 18:15:24.48851+00"
748,3,"2018-11-01 15:03:47.2742+00"
292,3,"2018-11-05 18:15:24.48851+00"
71,3,"2018-08-10 18:53:16.101478+00"
662,3,"2018-09-11 18:57:26.93398+00"
107,3,"2018-11-05 15:41:05.867256+00"
718,3,"2018-09-28 18:33:02.853218+00"
736,3,"2018-10-24 20:03:59.505943+00"
